UWI,Nombre del Pozo,"Profundidad Total 
(ft)",Departamento,Cuenca,Lat,Lon,"Coordenada
X","Coordenada 
 Y","Elevación GL
(ft)","Elevacion 
(m)","Temperatura en superficie 
(°C)","BHT
(°F)","BHT
(°C)","Profundidad BHT
(ft)","Profundidad BHT 
(m)",Temperatura de formación (°C),Gradiente Geotérmico Aparente (°C/Km),Año de actualizacion del dato,Distance_To_Nearest_Volcano (m),Radius (m),Number of Volcanoes Nearby,Moho_Depth (m),LAB,RHO_C,RHO_L,RHO_SL,FA,G_zz,G_xx,G_yy
ACAE0008A,ACAE-8A,10720,Putumayo,Caguan-Putumayo,0.302231,-76.918911,683937.739831,524907.792205,943.0,287.655,26.761725,217.0,102.77777777777779,10720.0,3267.456,114.27125952040129,26.78216157169409,2008.0,84761.4404009249,89761.4404009249,5,37859.01664668898,60728.56208227054,2840.5657002353664,3278.37865572368,3438.8311857794865,27.303551091820793,0.585495585028624,-0.3178003240269761,-0.262144479698084
AGAT0001,AGATA-1,6201,Boyacá,Valle Medio del Magdalena,5.830164,-74.321856,973547.350579,1136101.111383,940.0,286.512,26.76744,145.0,62.77777777777778,5283.0,1610.2584000000002,67.67402964122167,25.40374243116612,2008.0,73424.87956003919,78424.87956003919,1,40612.26481006529,189812.65535519086,2827.3315071982033,3348.0840127827896,3477.192027427011,66.74951563491702,0.9463545904070912,-0.5171379967713934,-0.42530177408681175
AGUA0001,AGUACHICA-1,11330,Cesar,Valle Medio del Magdalena,8.073272,-73.606028,1052346.609192,1384242.924927,226.0,68.8848,27.855576,181.0,82.77777777777779,11326.0,3452.1648,94.88023270933388,19.415254077480277,2008.0,308230.58845400804,313230.58845400804,1,37311.000591094635,123807.4822431163,2778.294500943651,3327.740549204238,3459.3223770785257,15.545265487910033,0.29744426628601467,-0.25214064910752687,-0.040113985321611215
AGUL0001,AGUALINDA-1,9108,Casanare,Llanos Orientales,6.175794,-71.091822,1330987.006031,1175294.65359,451.0,137.4648,27.512676,176.0,80.0,9100.0,2773.6800000000003,89.6485253717706,22.401953135102318,2009.0,431827.9848002008,436827.9848002008,1,36048.05750530145,124358.77837704493,2864.6219411358393,3333.9191228724007,3458.7401527687407,-39.35777451705404,0.019155936123844773,0.11079562932916842,-0.1256410989044653
AMAR0001,AGUAMARINA-1,11499,Casanare,Llanos Orientales,4.8018083,-72.3174583,1195661.3017403,1022674.059202,,172.82,27.3359,227.0,108.33333333333334,11446.0,3488.7408,120.54957669228457,26.71842995394917,2009.0,307409.5231422216,312409.5231422216,1,37045.60391976388,155331.44649565223,2852.318498927149,3348.27753985844,3466.7318977075065,21.299394124657972,0.3620509246157412,-0.13467955325604034,-0.22423294258147164
ABLA0001,AGUAS BLANCAS-1,11206,Santander,Valle Medio del Magdalena,6.795316,-73.792668,1031865.195479,1242887.386018,350.0,106.68,27.6666,185.0,85.0,11206.0,3415.5888,96.98630751516646,20.29509744122784,2008.0,181377.5465902711,186377.5465902711,1,43330.66023297584,174255.71875203052,2785.3568540559354,3346.1744618644134,3474.6011199476643,64.09862813833382,0.6809832426198577,-0.37999226835298566,-0.29358967767777727
ABLA0002,AGUAS BLANCAS-2,9222,Santander,Valle Medio del Magdalena,6.839267,-73.791586,1031981.895243,1247748.100384,339.0,103.3272,27.683364,160.0,71.11111111111111,9222.0,2810.8656,80.90676909164115,18.934880803849587,2008.0,184924.2512913193,189924.2512913193,1,43297.33632969216,173704.15318660391,2784.237021929994,3346.017037529376,3474.4629566433478,63.07087480730833,0.6681478698329847,-0.37392920973298993,-0.2868338089361297
ABLA0003,AGUAS BLANCAS-3,8937,Santander,Valle Medio del Magdalena,6.815653,-73.770775,1034284.002601,1245138.005644,340.0,103.632,27.681839999999998,160.0,71.11111111111111,8817.0,2687.4216,80.41471231059549,19.6221063009226,2008.0,184686.56082415054,189686.56082415054,1,43443.904498241754,173491.1370816971,2784.8746653308267,3346.032265468058,3474.430934465121,64.01937857081462,0.6749229945778553,-0.37743067252075624,-0.2899750519859831
ABLA0004,AGUAS BLANCAS-4,4919.5,Santander,Valle Medio del Magdalena,6.846886,-73.771642,1034185.976346,1248592.123276,450.0,137.16,27.5142,134.0,56.66666666666667,5172.0,1576.4256,61.43031914431654,21.51457014166513,2008.0,187072.1266749057,192072.1266749057,1,43392.53324994467,173125.9953328928,2784.1034005591673,3345.919200757045,3474.3370255549876,63.257034017514634,0.6659243594558617,-0.37321027023646736,-0.2852179960960224
ABLA0005,AGUAS BLANCAS-5,7495,Santander,Valle Medio del Magdalena,6.838322,-73.779533,1033314.258033,1247644.463369,366.0,111.55680000000001,27.642215999999998,156.0,68.88888888888889,7580.0,2310.384,76.64535699462654,21.20995513933032,2008.0,185782.44012776317,190782.44012776317,1,43365.51657839896,173426.17854275575,2784.289494262758,3345.9798146754615,3474.405286746018,63.31725352356071,0.6683982188281536,-0.3742372887858552,-0.28670587589359614
ABLA0006,AGUAS BLANCAS-6,6448,Santander,Valle Medio del Magdalena,6.847286,-73.782772,1032955.619704,1248635.582896,400.0,121.92,27.5904,126.0,52.22222222222222,6460.0,1969.008,58.564847543786286,15.730991211709798,2008.0,186242.13363497012,191242.13363497012,1,43335.07940680839,173387.9463898434,2784.064162982887,3345.954801495896,3474.3918410890446,63.04364706465847,0.6658395638301126,-0.37299798844849646,-0.285409636425703
ABLA0007,AGUAS BLANCAS-7,8125.5,Santander,Valle Medio del Magdalena,6.842322,-73.798156,1031255.515099,1248085.58439,360.0,109.72800000000001,27.65136,142.0,61.111111111111114,8185.0,2494.788,69.63007174100717,16.826564718528058,2008.0,184661.46230722254,189661.46230722254,1,43255.474415979574,173822.3637477235,2784.1469070801404,3346.027151241341,3474.4856971486033,62.87445443671545,0.6672720078575911,-0.37341250956237865,-0.2865143622755015
ACLA0001W,AGUAS CLARAS WEST-1,11918,Santander,Valle Medio del Magdalena,7.300628,-73.520375,1061900.140097,1298799.983768,452.0,137.7696,27.511152,202.0,94.44444444444444,13025.0,3970.02,107.89790076523832,20.24844931895515,2008.0,242953.9090820967,247953.9090820967,1,41202.53589037502,153094.41992221985,2778.810668917085,3339.5774333032614,3468.996119391569,54.88842757577865,0.5449365495956734,-0.332747345528787,-0.20362128211674177
ACLA0001,AGUAS CLARAS-1,6716,Santander,Valle Medio del Magdalena,7.292394,-73.516175,1062365.096791,1297889.959232,429.0,130.7592,27.546204,130.0,54.44444444444445,6520.0,1987.296,60.862292318892386,16.764532469693684,2008.0,242568.3615964338,247568.3615964338,1,41252.53510172079,153451.85370502208,2778.9784020462007,3339.7581173887884,3469.105601175619,55.179456292389986,0.5470868942547219,-0.3333823399624024,-0.20511417479970484
ACLA0002,AGUAS CLARAS-2,6587,Santander,Valle Medio del Magdalena,6.657322,-73.670289,1045406.913953,1227635.945832,521.0,158.8008,27.405996,130.0,54.44444444444445,6587.0,2007.7176000000002,60.94640573658168,16.705740755862116,2008.0,181387.17831505628,186387.17831505628,1,44206.77009851918,172246.62183459863,2789.5296289400667,3345.923891575512,3474.1750511073406,69.55410860557835,0.7212167730002634,-0.40117518075507763,-0.311853864806404
ACLA0003,AGUAS CLARAS-3,7595,Santander,Valle Medio del Magdalena,7.291056,-73.516892,1062286.133316,1297741.790776,517.0,157.5816,27.412091999999998,152.0,66.66666666666667,7594.0,2314.6512000000002,74.44084313820399,20.317856590316495,2008.0,242404.3342294612,247404.3342294612,1,41255.279187302585,153535.30733733522,2778.986775537906,3339.787739860042,3469.1291188962387,55.215006345469575,0.5474705564406395,-0.33349226244853886,-0.2053899116565842
ACLA0004,AGUAS CLARAS-4,9415,Santander,Valle Medio del Magdalena,7.293717,-73.510108,1063034.885845,1298037.046775,578.0,176.17440000000002,27.319128,162.0,72.22222222222223,9490.0,2892.552,82.33730880994922,19.020636728380065,2008.0,243120.19906125334,248120.19906125334,1,41267.464564662136,153274.395408536,2779.043216772456,3339.7286218805743,3469.0610003145707,55.18686248166275,0.5465675720734479,-0.3332386995903133,-0.20471530290121637
ACLA0005,AGUAS CLARAS-5,8547,Santander,Valle Medio del Magdalena,7.302775,-73.508761,1063182.392151,1299039.072714,460.0,140.208,27.49896,134.0,56.66666666666667,5103.0,1555.3944000000001,61.3483011488204,21.762545338224438,2008.0,243975.53840523423,248975.53840523423,1,41238.9033323487,152783.78892646686,2778.9419471239457,3339.5329631441823,3468.919235167382,54.912779550201044,0.5440519062247586,-0.3324995394799575,-0.20294035644441993
AGUE0001,AGUEDA-1,0,Casanare,Llanos Orientales,5.0850615,-71.9523027,1236092.9955834,1054134.0003174,553.0,168.55440000000002,27.357228,206.0,96.66666666666667,10000.0,3048.0,107.37279480625523,26.251826380005,2009.0,338832.10973764944,343832.10973764944,1,37730.264366771924,150063.93827700315,2850.4915793082555,3348.037810007417,3465.205175656676,8.55226611060688,0.24407747599243682,-0.05185783236610464,-0.1861885213929283
AIPE0001S,AIPE SUR-1,5048.5,Huila,Valle Superior del Magdalena,3.159247,-75.266758,868177.422414,840861.205762,398.0,121.3104,27.593448,134.0,56.66666666666667,5045.0,1537.7160000000001,61.27960861388263,21.906620347243983,2008.0,88550.15707215252,93550.15707215252,1,45118.59988694899,146849.23262132387,2932.7954593015343,3345.823381806547,3460.814921273476,53.778871929733896,0.8584160852898961,-0.5290338455969507,-0.3283110837605446
AIPE0001TK,AIPE TK-1,4203,Huila,Valle Superior del Magdalena,3.215886,-75.253092,869703.993668,847123.862711,1332.0,405.9936,26.170032,125.0,51.66666666666667,4253.0,1296.3144,55.36710889286382,22.523144765547478,2008.0,92027.99008010417,97027.99008010417,1,45064.28996366983,149161.72484907246,2932.7901185321666,3346.7883207032455,3461.464473652891,53.95263443947519,0.866774016104758,-0.5330945931028752,-0.332769116151838
AIPE0002,AIPE-2,3808,Huila,Valle Superior del Magdalena,3.235311,-75.242836,870846.58941,849270.998903,1275.0,388.62,26.256899999999998,125.0,51.66666666666667,3837.0000000000005,1169.5176000000001,54.90945834396225,24.49946742482734,2008.0,93868.92820428447,98868.92820428447,1,45041.26128629819,150081.7088114086,2933.006649816907,3347.149741488806,3461.740471536386,53.90799663991764,0.8692857805131069,-0.5341297057520434,-0.33432705424222003
ALBO0001,ALBORADA-1,9580,Putumayo,Caguan-Putumayo,0.750669,-76.367114,745445.415458,574519.418555,949.0,289.2552,26.753724,213.0,100.55555555555556,9580.0,2919.984,110.77664127479294,28.775129341391235,2008.0,51666.70219118016,56666.70219118016,1,36109.28960619088,64172.607433980564,2838.1770892764634,3280.7204520878827,3440.629775257946,33.79580209303009,0.6304476182829811,-0.3617012917033663,-0.26308131363034376
ALCA0001,ALCARAVAN-1,10560,Casanare,Llanos Orientales,4.8598111,-72.1859,1210245.3299401,1029130.7261839,569.0,173.43120000000002,27.332843999999998,200.0,93.33333333333334,10550.0,3215.6400000000003,104.64660942608079,24.043041331144277,2009.0,319462.4335216922,324462.4335216922,1,37007.0031926573,153836.06129959825,2852.2328647915688,3348.4971037271716,3466.2178932433017,16.4513684530799,0.31606647179421843,-0.10315616098331527,-0.20875574218929202
ALCO0001,ALCON-1,2195,Cundinamarca,Valle Medio del Magdalena,5.092486,-74.585899,944003.116785,1054588.087398,553.0,168.55440000000002,27.357228,124.0,51.111111111111114,2195.0,669.0360000000001,52.72834045373766,37.921894268376676,2008.0,69402.76255518734,74402.76255518734,2,43107.41662783435,190489.81203329883,2864.9627557652857,3348.6896199562443,3475.9309608634608,59.34650556380235,1.017639271398343,-0.563991301061795,-0.4530668647568623
ALEA0001,ALEA-1,8339,Putumayo,Caguan-Putumayo,0.472889,-76.29168,753836.168575,543776.374824,784.0,238.9632,27.005184,113.0,45.0,2760.0,841.248,47.14098041774244,23.935624712025987,2008.0,79045.42035197903,84045.42035197903,1,34377.68377452775,72783.71604225456,2839.699402565997,3287.994141209533,3442.4460600930433,28.876829419451187,0.5638031119058671,-0.3153049043514511,-0.24540753726911219
ALEJ0001,ALEJANDRIA-1,6670,Magdalena,Valle Inferior del Magdalena,9.918889,-74.133734,994207.494288,1588343.397763,252.0,76.8096,27.815952,110.0,43.333333333333336,8404.0,2561.5392,52.12602543657098,9.490416323346125,2008.0,483431.64853706636,488431.64853706636,1,38180.80891945162,130823.74876960964,2728.574012260217,3340.2273808322693,3456.5319584541667,-20.437148573492266,-0.01756833331454935,-0.10352542390057494,0.12045166189789543
ALIX0001,ALIX-1,3423,Arauca,Llanos Orientales,6.265939,-69.690706,1486302.970499,1186370.638343,315.0,96.012,27.719939999999998,139.0,59.44444444444445,3423.0,1043.3304,62.248726838194926,33.09477691649254,2009.0,586778.3884257798,591778.3884257798,1,35450.43893201621,107735.09935679602,2886.4956976467056,3318.679247046191,3459.0989851574845,-23.2479218910432,-0.1300135946992809,0.1694728197935211,-0.0366141983281484
ALMA0001,ALMAGRO-1,7000,Meta,Llanos Orientales,3.904858,-72.665992,1157167.676925,923367.665642,665.0,202.692,27.18654,206.0,96.66666666666667,6998.0,2132.9904,103.68670038974192,35.86521551608573,2009.0,283840.38986338663,288840.38986338663,2,34815.66920157273,177921.4211513451,2879.635359995219,3350.485691823222,3472.803883507504,9.081730930320095,0.3619217310165186,-0.1633604206559268,-0.19827370268000366
ALMS0001,ALMENDRO-1,4244,Norte de Santander,Catatumbo,7.831394,-72.611031,1162134.648204,1357744.968965,1729.0,526.9992,25.565004,126.0,52.22222222222222,4258.0,1297.8384,55.928262280157945,23.39525343074912,2008.0,355196.3115179422,360196.3115179422,1,40605.81615253688,146452.0794525807,2810.639126864835,3344.1818393483973,3467.4358252947777,27.021501250234962,0.32804006460398505,-0.2186255099729165,-0.10271637992119477
ALPU0001,ALPUJARRA-1,5366,Tolima,Cordillera oriental,3.524027,-74.829854,916779.705463,881156.590208,1799.0,548.3352,25.458323999999998,126.0,52.22222222222222,5441.0,1658.4168000000002,57.308553104446666,19.20520167454084,2008.0,104603.03177241405,109603.03177241405,2,46615.02409077297,167627.23464198556,2937.6489670428364,3352.2011455883603,3467.7090352116356,48.891618773019154,0.8736540400706407,-0.523859754433764,-0.35066103839290436
ALTA0001,ALTAGRACIA-1,7407,Huila,Valle Superior del Magdalena,3.048417,-75.167933,879151.966758,828591.488388,553.0,168.55440000000002,27.357228,146.0,63.333333333333336,7407.0,2257.6536,70.87087537708261,19.273836950488157,2008.0,96569.6457779827,101569.6457779827,1,44871.12503328381,145082.96533324776,2937.83816559724,3344.7541548868644,3460.6608984242107,50.79862968486589,0.8304286132776616,-0.5112162584225157,-0.3184737524565386
ALTA0002,ALTAGRACIA-2,8004,Huila,Valle Superior del Magdalena,3.052383,-75.169686,878957.521046,829030.385706,544.0,165.8112,27.370943999999998,154.0,67.77777777777779,8004.0,2439.6192,76.06940213910448,19.96149978615699,2008.0,96441.20726181373,101441.20726181373,1,44878.77761854246,145190.04550412862,2937.756184531141,3344.8156262536504,3460.6837081930794,50.88205676523342,0.831324348490566,-0.5117597260391616,-0.31882317638701063
ALTM0001,ALTAMIRA-1,7388,Huila,Valle Superior del Magdalena,2.083256,-75.745417,814796.938316,721903.000219,1217.0,370.9416,26.345292,148.0,64.44444444444444,7380.0,2249.424,71.94780862458552,20.272975048094768,2008.0,34454.90363805707,39454.90363805707,3,44409.27371813385,90815.7782971494,2877.6428720009967,3305.359286679851,3445.693178076345,41.311135998317646,0.6962648364618949,-0.4338069141394492,-0.2563954294751907
AMBA0001,AMBALEMA-1,5806,Tolima,Valle Medio del Magdalena,4.757755,-74.869731,912484.028486,1017600.327303,825.0,251.46,26.9427,128.0,53.333333333333336,5803.0,1768.7544,58.86052454399181,18.045368279503254,2008.0,51540.33358483106,56540.33358483106,6,43754.63002471939,188561.15417899188,2880.3900461208045,3349.23588683702,3474.085057199317,53.61304201057251,1.0202800139258772,-0.5788147911339945,-0.44146428087988676
AMBR0002,AMBARCO-2,10314,Huila,Valle Superior del Magdalena,3.087994,-75.330806,861047.212895,832988.623706,445.0,445.0,25.974999999999998,180.0,82.22222222222223,10341.0,3151.9368,93.30892275400127,21.36271347636199,2008.0,79604.50667316734,84604.50667316734,1,45440.38444079866,142888.44499369248,2930.183583621113,3344.0350968871676,3459.5849737977696,54.33052317889764,0.8516828268439545,-0.5269860236261095,-0.32315677318818076
00010066,AMBROSIA-1,5300,Tolima,Valle Medio del Magdalena,4.624767,-74.868934,912555.857909,1002892.663183,919.0,280.1112,26.799444,130.0,54.44444444444445,5300.0,1615.44,59.36107400265441,20.156508445163183,2008.0,42405.753953899904,47405.753953899904,2,43475.529626390955,187024.44483786565,2887.193998147562,3349.7689178120454,3473.5542772036756,53.31287589979595,1.01329391339375,-0.5785409694740107,-0.4348821778376667
AMBS0004,AMBROSIA-4,3687,Tolima,Valle Medio del Magdalena,4.620316,-74.86508,912982.998527,1002399.995834,918.0,279.8064,26.800967999999997,110.0,43.333333333333336,3687.0,1123.7976,46.41521075052538,17.45353678502729,2008.0,42461.47236548995,47461.47236548995,2,43426.01328715759,187005.32279816802,2887.414420466296,3349.778720099071,3473.559207274109,53.28961392938446,1.0126909293820672,-0.5782450785174488,-0.43457722961506196
AMBS0006,AMBROSIA-6,3330,Tolima,Valle Medio del Magdalena,4.61589,-74.869545,912486.997361,1001911.003216,782.0,238.3536,27.008232,114.0,45.55555555555556,3330.0,1014.984,48.26381332282385,20.941789548233125,2008.0,41773.01521204514,46773.01521204514,2,43458.9134499191,186911.44042715585,2887.6549011971233,3349.810149170709,3473.5138192168947,53.2981636095536,1.0128055549579442,-0.5785233524638296,-0.4344202703942439
AMOY0001,AMOYA-1,5536,Tolima,Valle Superior del Magdalena,3.729193,-75.396478,853841.878834,903919.52885,697.0,212.4456,27.137772,138.0,58.88888888888889,5536.0,1687.3728,64.0902223230947,21.89939906764806,2008.0,78322.0634655395,83322.0634655395,2,44163.686231572334,161511.0249338782,2911.5723963539353,3349.1163887815555,3464.2029734369685,56.1044196834118,0.9428467631181582,-0.5721763671925837,-0.369809306269988
ANAC0001,ANACONDA-1,16329.99023,Meta,Llanos Orientales,4.136439,-73.706975,1041521.252932,948853.667113,3644.0,1110.6912,22.646544,238.0,114.44444444444444,16444.0,5012.1312,128.1314087828567,21.04591052661525,2009.0,165594.31429222907,170594.31429222907,2,39030.16897930704,184419.9047770497,2891.2959698528944,3349.341812802814,3474.7539820109405,34.80548758702792,0.7126280161041847,-0.3927183406508211,-0.32149656810683264
ANDA0001E,ANDALUCIA ESTE-1,2142,Huila,Valle Superior del Magdalena,3.206406,-75.106661,885981.665205,846057.83264,577.0,175.86960000000002,27.320652,116.0,46.66666666666667,2142.0,652.8816,48.236849341646035,32.03673888442565,2008.0,107080.80177597512,112080.80177597512,1,45169.19230993829,152251.60515642248,2938.9567824258743,3347.886232634776,3462.7423011355445,51.266481966282626,0.8527216096668523,-0.5217350362409553,-0.33075870394836765
ANDS0001,ANDALUCIA SUR-1,2682,Huila,Valle Superior del Magdalena,3.162639,-75.139394,882337.763472,841221.034232,514.0,156.6672,27.416664,119.0,48.333333333333336,2573.0,784.2504,50.29655533553741,29.174216979089092,2008.0,102243.11390237736,107243.11390237736,1,45021.85674164285,149939.17435690417,2938.239379942871,3346.9764799813,3462.0275471087966,51.4667784117569,0.8481029430868715,-0.5201576425053206,-0.32751246191904476
ANDS0012,ANDALUCIA SUR-12,2236,Huila,Valle Superior del Magdalena,3.171603,-75.140242,882244.578151,842212.51787,507.0,154.5336,27.427332,111.0,43.88888888888889,2237.0,681.8376000000001,45.54366019338372,26.56985797407436,2008.0,102415.40994101642,107415.40994101642,1,45040.76816221356,150241.57314318386,2938.118897479084,3347.1091359596444,3462.105533557508,51.56922083416493,0.8497999523217652,-0.5210895343358556,-0.32828568337578884
ANDS0019,ANDALUCIA SUR-19,1968,Huila,Valle Superior del Magdalena,3.172628,-75.133089,883039.894352,842325.069588,535.0,163.068,27.38466,110.0,43.333333333333336,1968.0,599.8464,44.751660200100304,28.952412151011167,2008.0,103211.0498754616,108211.0498754616,1,45051.94301773694,150445.71558892087,2938.3785431799915,3347.1817474184195,3462.181328574582,51.44311130029287,0.8492846170162797,-0.5206216918866489,-0.328272954039743
ANDS0020,ANDALUCIA SUR-20,2004.5,Huila,Valle Superior del Magdalena,3.176919,-75.135431,882780.043946,842799.975333,517.0,157.5816,27.412091999999998,113.0,45.0,2003.0,610.5144,46.44854994628301,31.181013824216123,2008.0,103089.57384459431,108089.57384459431,1,45058.853364019626,150544.3783161822,2938.2463778321885,3347.2289110502293,3462.200634991775,51.52862035757832,0.8502871144063893,-0.5212205810095019,-0.3286713374170202
ANDS0022,ANDALUCIA SUR-22,2060,Huila,Valle Superior del Magdalena,3.169467,-75.128856,883510.169565,841974.982738,547.0,166.72560000000001,27.366372,113.0,45.0,2030.0,618.744,46.4719763986953,30.878043906195934,2008.0,103570.84560432826,108570.84560432826,1,45049.58971293557,150431.44373174367,2938.568129647961,3347.166322868817,3462.190122964213,51.33166993561411,0.848293587292668,-0.5199774436278616,-0.32794166995009116
ANDS0023,ANDALUCIA SUR-23,2398,Huila,Valle Superior del Magdalena,3.171661,-75.125758,883854.751377,842217.329696,534.0,162.7632,27.386184,118.0,47.77777777777778,2398.0,730.9104,49.57856421995661,30.36265487528514,2008.0,103967.00013345273,108967.00013345273,1,45059.28077425001,150582.32401885188,2938.6604402931075,3347.224419250592,3462.2395605402585,51.2938700204287,0.8483801788424487,-0.5199405784353665,-0.32808232617152666
ANDS0025,ANDALUCIA SUR-25,2427,Huila,Valle Superior del Magdalena,3.164297,-75.141503,882103.550575,841404.677788,2567.0,782.4216,24.287892,128.0,53.333333333333336,2427.0,739.7496,55.160771838590726,41.73422985100733,2008.0,102065.05689604064,107065.05689604064,1,45023.54572548421,149949.40033180788,2938.1430903879877,3346.9855808326943,3462.0239545749205,51.523164668024776,0.8486078888979119,-0.5204849111813976,-0.32768244726388635
ANDS0026,ANDALUCIA SUR-26,2154,Huila,Valle Superior del Magdalena,3.167789,-75.134522,882880.005539,841790.060946,1719.0,523.9512,25.580244,112.0,44.44444444444444,2154.0,656.5392,46.025247061755984,31.1405671767291,2008.0,102914.84862595199,107914.84862595199,1,45038.30990758369,150238.71439171612,2938.373368544581,3347.095644827446,3462.1218820862705,51.4236420407809,0.848553098227334,-0.5202685226459999,-0.3278815096683888
